ID;Name;Relation's Name;Relation's ID;Relationship
170;Abraham Trust;Geoffrey Jenkinson;27;partnered
335;Benjamin Bishop Johnson;David Swetnam;154;appraised_art_for
173;Donald Hales;Leonardo Patterson;346;appraised_art_for
444;Giacomo Medici;Nikolas Koutoulakis;400;appraised_art_for
350;Jack Ogden;Michael Ward Gallery;292;appraised_art_for
239;Joel Malter;Robert Olson;149;appraised_art_for
339;John Betts;Michael Ward Gallery;292;appraised_art_for
194;Paul Clifford;Leonardo Patterson;346;appraised_art_for
70;Roxanna Brown;Jonathan and Cari Markell;71;appraised_art_for
118;Edward Johnson;Immigration and Customs Enforcement;45;caught_by
444;Giacomo Medici;Carabinieri;395;caught_by
349;Dikran Sarrafian;Euphronios ( Sarpedon ) krater;202;authenticated
194;Paul Clifford;Precolumbian art;412;authenticated
263;Barry MacLean;Ban Chiang pottery;82;acquired
455;Berry & Stark Associates;El Zotz Wooden Lintel;390;acquired
304;Art Gallery of New South Wales;dragon ewers;144;acquired
355;British Museum;dragon ewers;144;acquired
145;Nelson Rockefeller;Loma Negra;162;acquired
410;Peter G Wray;mask made of fuschite depicting the sun god;274;acquired
16;Michigan-based Orpheus Art;Predynastic opium poppy vase;128;acquired
245;Robin Symes;Morgantina Venus;273;acquired
292;Michael Ward Gallery;sealstones;31;acquired
207;Leon Levy;second Euphronios krater;166;acquired
310;Shelby White;second Euphronios krater;166;acquired
378;J Paul Getty Museum;Fifth-century BC Attic red-figured kylix, signed by Euphronios as potter and painted by Onesimos ;136;acquired
378;J Paul Getty Museum;Second century AD copy of a head of Diadoumenos by Polykleitos;47;acquired
18;Metropolitan Museum of Art;Euphronios ( Sarpedon ) krater;202;acquired
104;Museum für Indische Kunst;Uma Maheshwar;409;acquired
272;Provincial Archaeological Museum;Silver Hoard of Everbeek;258;acquired
10;Sweden;totem pole;418;acquired
378;J Paul Getty Museum;red-figure krater by Asteas;157;acquired
18;Metropolitan Museum of Art;Alan C Lapiner;101;bought_from
6;Museum of Primitive Art;Alan C Lapiner;101;bought_from
355;British Museum;Alistair McAlpine;468;bought_from
336;Detroit Institute of Art;André Emmerich;342;bought_from
378;J Paul Getty Museum;Antike Kunst Palladion;271;bought_from
41;Art Consultancy;Anton Tkalec;187;bought_from
161;Antonio ‘Nino' Savoca;Luigi Coppola;425;bought_from
219;Barbara Fleischman;Robin Symes;245;bought_from
378;J Paul Getty Museum;Barbara Fleischman;219;bought_from
335;Benjamin Bishop Johnson;Michael Kelly;126;bought_from
335;Benjamin Bishop Johnson;David Swetnam;154;bought_from
114;Charles Craig;David Swetnam;154;bought_from
217;Dietrich von Bothmer;Robert Hecht;131;bought_from
357;Enrico Poli;Pereda;319;bought_from
229;Fleischman Collection;Atlantis Antiquities;137;bought_from
229;Fleischman Collection;Fritz Bürki;397;bought_from
222;Fred Drew;Pereda;319;bought_from
42;Frieda Tchacos;Antonio ‘Nino' Savoca;161;bought_from
363;Hoi An;Captain Trang;139;bought_from
449;Jean Aurance;Pierre Langlois;280;bought_from
360;Marquess of Northampton;Korban and Tkalec;192;bought_from
464;Maurice Tempelsman;Robin Symes;245;bought_from
462;Michael Rockefeller;Andre Emmerich Gallery;359;bought_from
145;Nelson Rockefeller;Everett Rassiga;176;bought_from
280;Pierre Langlois;Earl Stendahl;116;bought_from
347;Antiquaria Romana;Giacomo Medici;444;belonged_to
149;Robert Olson;Thailand;384;bought_from
245;Robin Symes;Renzo Canavesi;376;bought_from
374;Ted Wiener;Clive Hollinshead;447;bought_from
378;J Paul Getty Museum;Frieda Tchacos;42;bought_from
378;J Paul Getty Museum;Hydra Gallery;334;bought_from
378;J Paul Getty Museum;Samuel Schweitzer;396;bought_from
131;Robert Hecht;Dikran Sarrafian;349;bought_from
245;Robin Symes;a collector from Chiasso;117;bought_from
176;Everett Rassiga;Josué Sáenz;94;implicated_with
132;John Cummings;Alistair McAlpine;468;implicated_with
132;John Cummings;Christie's;115;implicated_with
190;Orazio di Simone;Renzo Canavesi;376;implicated_with
165;Arts Franc;Giacomo Medici;444;accepted_material_from
307;Pasquale Camera;Gianfranco Becchina;186;implicated_with
